12-Apr-22 19:23:55 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:23:56 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:23:57 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:23:58 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:23:58 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:24:03 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:24:03 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:24:04 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:24:05 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:24:06 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:24:07 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:24:08 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:24:09 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:24:10 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:24:12 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:24:13 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:24:14 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:24:15 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:24:16 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:24:17 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:24:18 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:24:19 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:24:20 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
12-Apr-22 19:24:21 - kafka.conn - ERROR - Connect attempt to <BrokerConnection node_id=bootstrap-0 host=20.219.84.36:9092 <connecting> [IPv4 ('20.219.84.36', 9092)]> returned error 111. Disconnecting.
